label,area,perimeter,eccentricity,solidity,mean_intensity,centroid_row,centroid_col,bbox_minr,bbox_minc,bbox_maxr,bbox_maxc
1,478742,33832.42216648821,0.6198297898182584,0.41804810406013354,173.21756812646478,798.295944370872,524.0419349043952,0,0,1264,906
2,608,152.50966799187808,0.9747321213486178,0.7298919567827131,170.70559210526315,46.66447368421053,410.24342105263156,22,386,71,432
3,8781,1025.7442994522837,0.9919553280849478,0.532246332888835,170.33868579888394,153.2323197813461,550.3496184944767,43,416,267,705
4,1371,216.79393923933998,0.914109151932722,0.6952332657200812,164.69657184536834,85.89277899343544,253.43398978847557,50,234,123,275
5,903,144.46803743153546,0.8809286014448731,0.8462980318650422,163.6423034330011,68.87375415282392,848.0542635658915,53,825,87,876
6,714,127.18986283848345,0.5841918282838025,0.8132118451025057,146.7156862745098,89.03501400560224,306.7296918767507,69,290,107,322
7,776,208.8944443027283,0.9320139386476682,0.4939528962444303,172.1056701030928,85.17912371134021,119.80154639175258,74,79,112,149
8,7778,893.2823586751581,0.9944735999426867,0.5494878134934652,172.92543070197993,171.3549755721265,599.8434044741579,82,455,297,753
9,7583,796.6488450227787,0.9930849355546516,0.6348794373744139,167.83555321113016,204.2905182645391,626.1404457338784,112,508,295,760
10,614,112.91168824543142,0.8804262339156271,0.8809182209469153,159.49348534201954,147.8257328990228,364.7475570032573,125,354,169,376
11,918,180.8528137423857,0.8161921145231228,0.6352941176470588,161.9139433551198,168.0751633986928,215.6230936819172,143,192,192,236
12,1145,179.92388155425118,0.8335691370933469,0.731629392971246,168.66288209606986,222.46288209606988,260.0427947598253,190,243,248,284
13,1921,507.97265478953017,0.8636424211250016,0.38017019592321394,177.00052056220719,265.8193649141072,150.8646538261322,213,108,311,188
14,1682,350.9482681718907,0.8508959375100119,0.5032914422501497,165.86206896551724,256.88882282996434,60.005350772889415,218,28,300,95
15,8297,779.4001076812497,0.44085101308459745,0.6465866583541147,156.4115945522478,302.36133542244187,697.0824394359407,238,630,372,781
16,1163,242.20815280171308,0.8676364335764098,0.5231668915879443,166.9810834049871,274.65262252794497,355.0146173688736,244,321,293,397
17,1508,183.3380951166243,0.8632668915321541,0.816017316017316,159.46220159151193,279.04111405835545,278.0497347480106,259,243,298,308
18,1305,237.96551211459376,0.9417848933381003,0.6814621409921671,177.44521072796934,297.6015325670498,572.1455938697318,272,530,314,604
19,1055,169.23759005323592,0.8598526086224763,0.7723279648609077,177.7696682464455,320.278672985782,253.52796208530805,298,233,351,278
20,632,127.1543289325507,0.8827589511671072,0.7391812865497076,172.22151898734177,336.37025316455697,164.14715189873417,318,148,352,186
21,896,200.8944443027283,0.9605925533081648,0.5871559633027523,160.25111607142858,352.859375,799.0223214285714,318,781,390,813
22,819,118.32590180780451,0.5113062517933697,0.9039735099337748,175.57875457875457,348.1416361416361,471.1343101343101,332,452,365,487
23,797,157.53910524340094,0.4173768268734077,0.6852966466036113,163.37515683814303,356.9460476787955,543.4993726474279,334,523,378,565
24,1149,210.75230867899737,0.8466032630892877,0.6524701873935264,179.17667536988685,376.1697127937337,355.2053959965187,351,337,415,378
25,3109,356.33304448274095,0.7826593177321409,0.6677405498281787,154.51174010935992,400.32229012544224,615.4429076873593,359,575,435,673
26,655,127.22539674441617,0.7701672325956763,0.7853717026378897,157.9770992366412,430.1618320610687,671.2961832061069,402,654,446,685
27,1440,217.37972567696687,0.8718594094173958,0.6969990319457889,175.5951388888889,442.4784722222222,430.3326388888889,407,410,475,454
28,3723,545.4284989122459,0.6246912035526068,0.47921225382932164,164.21031426269138,462.8423314531292,298.83964544722,420,240,512,362
29,683,174.61017305526642,0.7558041792059546,0.5959860383944153,176.52269399707174,442.8696925329429,533.1068814055637,423,516,467,550
30,1182,176.75230867899737,0.8332814475918133,0.7287299630086314,153.80033840947547,499.1260575296108,384.6446700507614,473,365,526,411
31,584,166.4386001800126,0.8955194284915297,0.5626204238921002,168.40582191780823,489.6506849315069,207.07534246575344,478,179,509,232
32,1655,229.86500705120545,0.6181746768340859,0.6980177140447069,165.7891238670695,535.6936555891239,116.1141993957704,510,91,565,150
33,1635,266.34419177103416,0.8008118884311086,0.6369302687962602,173.09418960244648,529.7296636085626,219.77492354740062,511,175,560,259
34,804,203.06601717798213,0.9252431453876113,0.4993788819875776,168.2674129353234,541.9440298507462,295.2960199004975,522,266,562,335
35,958,228.3086578651014,0.9805556776442049,0.5816636308439587,179.13987473903967,598.7807933194155,81.28079331941545,564,65,658,99
36,2023,402.36857838867365,0.967594042998674,0.5197841726618705,153.7251606524963,627.5096391497775,377.20612951062776,565,347,694,398
37,740,147.63961030678928,0.7378142046192542,0.6870937790157846,165.47297297297297,595.7621621621622,130.21216216216217,578,110,619,145
38,679,121.98275605729688,0.8771848616552053,0.8498122653316645,171.1104565537555,608.2164948453608,163.7923416789396,582,150,628,176
39,2619,470.6944801964782,0.7424195630220558,0.5059891808346213,156.23367697594503,671.942726231386,279.7002672775869,636,229,717,321
40,3457,371.747258045114,0.8826542166811262,0.6523872428760144,172.1512872432745,716.2938964420017,211.1689326005207,654,181,766,264
41,582,120.01828996322962,0.8775037591769086,0.8208744710860366,154.76116838487974,957.4329896907217,42.723367697594504,937,31,983,56
42,1406,237.8233764908628,0.9849580039153961,0.785036292573981,163.25106685633003,1183.2517780938833,38.48293029871977,1134,24,1236,55
43,2,0.0,1.0,1.0,186.5,1197.0,316.5,1197,316,1198,318
